순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR(need to drop),WPA
570,이종혁,18K,0.86,47,0,0,0,0,5,1,4,48.1,28,25,215,61,8,0,4,17,3,2,31,0,2,4.66,4.62,1.61,113.8,112.8,0.86,-2.12
571,심재민,22K,0.86,44,0,0,1,4,1,0,6,43.1,19,18,184,41,6,2,4,16,3,2,21,0,0,3.74,4.61,1.32,110.1,88.4,0.86,0.33
572,김대우,15넥,0.85,47,0,0,1,6,3,1,4,71.0,44,39,318,81,14,3,8,31,1,6,63,0,4,4.94,4.83,1.58,100.7,102.9,0.85,-1.07
573,원태인,19삼,0.85,26,0,0,20,4,8,0,2,112.0,65,60,493,119,26,3,12,39,0,5,68,2,6,4.82,4.76,1.41,90.0,89.7,0.85,-1.59
574,손승락,19롯,0.85,53,0,0,0,4,3,9,2,52.2,27,23,233,54,9,1,3,19,3,3,44,0,2,3.93,3.56,1.39,106.7,117.4,0.85,-1.04
575,김원중,17롯,0.85,24,0,0,24,7,8,0,0,107.1,71,68,507,130,21,2,13,56,0,10,87,0,8,5.70,5.53,1.73,88.4,90.9,0.85,-0.91
576,임창용,16K,0.85,34,0,0,0,3,3,15,0,35.0,18,17,159,45,7,1,5,10,3,1,38,1,5,4.37,4.16,1.57,118.5,126.4,0.85,-1.07
577,송은범,20L,0.85,56,0,0,1,4,2,2,6,56.0,29,28,247,66,8,1,4,19,1,3,28,0,2,4.50,4.61,1.52,102.8,101.0,0.85,-0.15
578,최지광,20삼,0.85,51,0,0,0,1,3,0,15,44.1,24,24,199,34,5,0,2,31,4,3,45,0,5,4.87,4.14,1.47,100.7,116.9,0.85,-0.54
579,유승철,18K,0.84,39,0,0,0,1,0,1,3,47.1,25,23,220,49,10,1,5,29,3,4,44,0,4,4.37,5.25,1.65,117.4,98.3,0.84,-0.81
580,한현희,19키,0.84,61,0,0,0,7,5,0,24,58.0,26,22,251,50,10,1,1,20,1,7,49,1,2,3.41,3.28,1.21,121.2,127.0,0.84,-0.45
581,배우열,16k,0.84,36,0,0,0,1,1,1,4,40.1,21,18,175,47,13,1,2,18,0,0,29,0,5,4.02,4.34,1.61,130.1,120.5,0.84,-0.68
582,김대우,16삼,0.83,67,0,0,0,6,0,0,11,66.0,39,37,295,82,17,0,8,19,1,6,37,0,2,5.05,5.34,1.53,104.5,97.7,0.83,-0.13
583,진해수,19L,0.83,73,0,0,0,3,1,0,20,43.0,17,16,188,44,3,3,2,16,0,2,38,0,0,3.35,3.50,1.40,122.6,117.0,0.83,-0.02
584,박희수,18S,0.83,35,0,0,0,1,2,0,4,33.0,14,12,146,35,8,0,1,15,0,3,30,0,0,3.27,4.05,1.52,160.6,128.8,0.83,-0.95
585,강재민,22한,0.83,56,0,0,0,4,7,7,7,51.1,26,24,232,44,5,1,7,29,8,4,39,0,1,4.21,5.05,1.42,96.2,81.0,0.83,-1.58
586,고효준,17K,0.82,40,0,0,1,3,1,0,4,40.0,19,19,186,44,7,1,1,22,0,5,35,1,2,4.28,4.34,1.65,116.2,114.9,0.82,0.10
587,톰슨,19롯,0.82,11,1,1,11,2,3,0,0,62.2,35,33,267,54,8,1,4,23,0,5,60,0,8,4.74,3.66,1.23,88.5,114.4,0.82,-0.26
588,함덕주,19두,0.82,61,0,0,0,2,5,16,7,54.2,24,21,236,39,7,1,6,34,4,1,48,0,2,3.46,4.78,1.34,118.7,84.8,0.82,1.14
589,박민호,21S,0.82,40,0,0,0,4,0,0,5,41.0,18,18,177,45,5,0,3,11,0,4,19,0,0,3.95,4.45,1.37,113.6,101.5,0.82,0.16
590,윤성환,19삼,0.82,27,1,1,27,8,13,0,0,145.1,87,77,643,168,34,3,14,50,0,7,65,0,3,4.77,4.94,1.50,91.0,86.3,0.82,-1.05
591,김윤수,20삼,0.82,61,0,0,0,3,5,0,12,58.0,34,30,266,66,9,0,6,31,3,1,41,0,7,4.66,4.99,1.67,105.4,97.8,0.82,-1.34
592,차우찬,18L,0.81,29,1,0,29,12,10,0,0,170.0,119,115,762,177,36,4,27,79,2,10,136,0,10,6.09,5.83,1.51,82.9,85.5,0.81,-2.45
593,박상원,19한,0.81,61,0,0,0,1,4,0,12,59.0,29,26,256,52,6,0,5,28,1,5,39,0,1,3.97,4.81,1.36,104.5,86.6,0.81,0.45
594,김기현,15한,0.81,54,0,0,0,1,0,0,3,41.1,20,20,187,36,6,1,5,30,1,3,32,0,5,4.35,5.96,1.60,114.4,82.7,0.81,-0.13
595,최원재,15k,0.81,36,0,0,0,2,1,0,3,33.0,16,14,148,43,2,3,2,12,1,3,24,0,1,3.82,4.22,1.67,131.6,116.9,0.81,-0.20
596,웹스터,16삼,0.80,12,0,0,12,4,4,0,0,71.0,48,45,325,72,16,2,10,47,0,3,59,1,4,5.70,6.07,1.68,92.4,85.9,0.80,-0.87
597,배제성,22K,0.80,24,0,0,18,3,9,0,0,107.0,56,50,458,103,15,2,8,46,0,1,89,0,8,4.21,3.96,1.39,97.9,102.7,0.80,-0.54
598,이동걸,17한,0.80,24,0,0,0,0,0,1,2,36.2,18,17,146,36,8,1,5,5,0,3,22,0,1,4.17,4.96,1.12,120.5,101.9,0.80,0.44
