이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WPA,소속팀,연도,포지션,연봉
서예일,0.06,39,29,25,4,6,2,0,0,8,1,0,0,3,0,0,7,0,0,1,0.24,0.31,0.32,0.63,0.295,69.6,0.09,두산,2020,3B,3200.0
유서준,0.06,28,25,24,10,6,1,0,1,10,2,1,1,1,0,0,7,2,0,0,0.25,0.28,0.417,0.697,0.31,75.4,-0.11,SSG,2020,SS,
송준석,0.06,19,55,51,5,12,2,0,2,20,4,0,0,3,1,0,13,1,0,0,0.235,0.291,0.392,0.683,0.317,81.8,-0.22,삼성,2021,LF,4700.0
문규현,0.06,110,337,304,38,82,15,2,6,119,42,2,1,10,2,1,42,10,18,3,0.27,0.295,0.391,0.686,0.286,57.8,-0.8,롯데,2017,SS,18000.0
권용관,0.06,40,49,44,7,11,2,1,0,15,3,0,0,2,2,0,12,2,1,0,0.25,0.313,0.341,0.653,0.3,61.3,-0.68,한화,2016,SS,
나지완,0.06,56,153,129,12,24,5,0,6,47,17,0,0,19,3,1,37,3,0,2,0.186,0.301,0.364,0.665,0.306,82.2,-0.7,KIA,2019,DH,60000.0
차일목,0.06,52,112,92,7,19,3,0,1,25,7,1,1,13,3,0,21,5,4,0,0.207,0.324,0.272,0.596,0.28,53.6,-1.11,한화,2017,C,
허일,0.06,9,15,14,1,5,0,0,0,5,0,0,0,1,0,0,2,0,0,0,0.357,0.4,0.357,0.757,0.355,103.6,-0.2,롯데,2018,RF,
양석환,0.06,80,215,203,24,56,10,1,6,86,37,3,0,6,1,0,48,1,3,2,0.276,0.297,0.424,0.721,0.315,74.9,0.96,LG,2016,1B,9000.0
박지규,0.06,10,18,11,2,1,0,0,0,1,1,0,0,4,2,0,7,0,1,0,0.091,0.412,0.091,0.503,0.296,77.9,0.11,LG,2019,2B,4500.0
백동훈,0.06,23,34,27,7,6,2,0,1,11,4,0,0,5,1,0,11,1,0,1,0.222,0.353,0.407,0.76,0.338,97.2,-0.07,두산,2018,RF,
김다원,0.06,108,274,245,31,60,9,0,5,84,30,1,0,15,12,0,67,8,0,2,0.245,0.318,0.343,0.66,0.307,70.4,-0.58,KIA,2015,LF,7000.0
권정웅,0.06,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.944,482.7,0.0,삼성,2016,C,3000.0
조윤준,0.05,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.944,475.4,0.01,LG,2016,C,3000.0
신현철,0.05,35,25,24,3,7,2,0,0,9,2,0,0,0,1,0,12,0,0,0,0.292,0.32,0.375,0.695,0.322,72.1,-0.08,kt,2016,3B,0.0
조한민,0.05,52,145,127,15,25,6,2,5,50,18,3,2,13,2,0,57,4,1,2,0.197,0.278,0.394,0.672,0.305,77.6,-0.92,한화,2021,RF,
문우람,0.05,63,138,119,22,28,10,0,2,44,22,1,1,12,3,1,30,1,1,3,0.235,0.314,0.37,0.684,0.306,69.0,-0.56,키움,2015,RF,0.0
최영진,0.05,14,22,20,4,4,0,2,1,11,4,1,0,1,0,0,4,0,1,0,0.2,0.238,0.55,0.788,0.303,66.7,0.46,삼성,2017,3B,3300.0
