이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WPA,소속팀,연도,포지션,연봉
하주석,1.48,111,470,432,69,123,18,8,11,190,52,7,6,23,5,0,83,6,9,1,0.285,0.328,0.44,0.767,0.333,89.3,1.11,한화,2017,SS,12000.0
박건우,1.47,70,175,158,31,54,12,0,5,81,26,2,1,12,3,0,29,2,2,0,0.342,0.399,0.513,0.912,0.403,143.3,0.97,두산,2015,RF,7000.0
정수빈,1.47,104,351,313,50,81,19,4,3,117,37,12,7,29,3,1,50,7,4,2,0.259,0.326,0.374,0.7,0.325,91.6,-0.07,두산,2021,CF,60000.0
박병호,1.47,118,477,409,48,93,23,0,20,176,76,0,1,47,14,3,141,9,0,7,0.227,0.323,0.43,0.753,0.343,106.4,0.01,키움,2021,1B,
이원석,1.46,121,459,411,55,109,20,1,18,185,62,2,0,34,4,2,80,4,4,6,0.265,0.323,0.45,0.773,0.333,89.2,0.55,삼성,2017,3B,30000.0
김동엽,1.46,125,428,393,58,109,18,1,22,195,70,2,4,23,9,1,62,6,0,3,0.277,0.329,0.496,0.826,0.356,103.6,1.12,SSG,2017,LF,11500.0
신종길,1.46,99,348,313,56,82,13,4,5,118,28,19,5,25,6,0,80,3,4,0,0.262,0.329,0.377,0.706,0.32,78.4,1.93,KIA,2015,RF,12000.0
오재원,1.43,122,484,416,68,113,18,1,5,148,58,13,10,54,5,1,82,10,3,6,0.272,0.358,0.356,0.713,0.334,84.5,0.72,두산,2016,2B,55000.0
이형종,1.42,128,434,377,57,100,18,0,9,145,44,11,6,40,11,0,73,7,4,2,0.265,0.351,0.385,0.736,0.334,94.1,0.0,LG,2017,LF,10500.0
조동찬,1.41,122,393,353,35,102,23,0,10,155,46,3,0,22,10,0,72,8,4,4,0.289,0.345,0.439,0.784,0.345,98.2,-0.2,삼성,2017,2B,0.0
아두치,1.41,64,272,247,46,72,18,3,7,117,41,15,2,18,1,1,59,5,1,5,0.292,0.336,0.474,0.81,0.354,97.1,0.53,롯데,2016,CF,
스크럭스,1.41,142,571,501,75,129,35,0,26,242,97,3,2,55,12,2,144,14,0,3,0.257,0.343,0.483,0.826,0.355,103.4,2.57,NC,2018,1B,
정의윤,1.4,112,381,349,44,112,16,0,15,173,45,0,1,19,9,0,61,11,0,4,0.321,0.368,0.496,0.863,0.379,119.7,0.69,SSG,2017,DH,30000.0
이명기,1.38,56,232,191,30,56,12,0,2,74,14,5,3,37,1,0,27,2,3,0,0.293,0.411,0.387,0.798,0.381,126.6,1.03,NC,2021,LF,17500.0
하주석,1.38,125,483,444,50,115,18,2,5,152,58,20,6,31,3,1,126,4,2,3,0.259,0.31,0.342,0.652,0.303,84.5,-0.21,한화,2022,SS,20090.0
박용택,1.38,134,583,524,89,159,38,1,15,244,76,3,3,47,5,0,107,21,0,7,0.303,0.362,0.466,0.828,0.362,112.7,2.63,LG,2018,LF,
강경학,1.38,77,289,245,42,68,11,1,5,96,27,6,3,38,4,0,59,7,1,1,0.278,0.382,0.392,0.774,0.353,101.4,0.77,한화,2018,2B,
김재성,1.37,63,185,161,16,54,10,0,3,73,26,0,0,18,2,0,40,4,1,3,0.335,0.402,0.453,0.856,0.392,143.6,0.44,삼성,2022,DH,4500.0
살라디노,1.37,44,163,132,26,37,8,0,6,63,27,6,1,23,7,0,41,3,0,1,0.28,0.411,0.477,0.888,0.405,137.2,0.53,삼성,2020,LF,
정성훈,1.37,126,418,370,58,119,22,1,6,161,64,8,4,33,5,1,59,9,5,5,0.322,0.38,0.435,0.815,0.369,107.7,0.83,LG,2016,1B,30000.0
양석환,1.37,140,519,483,53,127,27,0,22,220,82,2,2,24,6,0,81,9,1,5,0.263,0.303,0.455,0.759,0.324,89.6,0.37,LG,2018,3B,
최항,1.37,98,257,222,38,65,12,1,7,100,35,2,2,25,8,0,57,1,2,0,0.293,0.384,0.45,0.835,0.37,113.0,0.05,SSG,2018,2B,
백상원,1.36,132,517,445,60,128,19,3,3,162,49,8,3,51,4,0,69,15,10,7,0.288,0.361,0.364,0.725,0.335,83.9,0.45,삼성,2016,2B,9000.0
윌슨,1.35,68,268,231,21,58,15,0,9,100,37,0,2,31,5,0,60,8,0,1,0.251,0.351,0.433,0.784,0.361,118.4,0.73,롯데,2019,3B,
이명기,1.35,120,502,447,88,135,28,6,4,187,42,12,5,40,3,3,64,5,11,1,0.302,0.363,0.418,0.781,0.34,95.0,0.16,,2018,RF,
김강민,1.33,84,202,178,24,54,11,0,5,80,18,1,3,18,3,2,39,1,2,1,0.303,0.375,0.449,0.824,0.372,129.5,1.07,SSG,2022,CF,
권희동,1.33,116,413,348,37,89,17,0,6,124,41,3,0,50,7,1,60,10,5,3,0.256,0.358,0.356,0.714,0.334,100.0,0.18,NC,2019,RF,13500.0
유강남,1.33,126,313,279,26,76,11,1,8,113,37,2,1,19,7,0,55,10,7,1,0.272,0.333,0.405,0.738,0.328,91.4,-0.84,LG,2015,C,8100.0
장성우,1.32,126,412,365,25,96,7,0,7,124,41,0,1,35,2,2,86,11,4,6,0.263,0.326,0.34,0.666,0.309,83.6,-1.85,kt,2019,C,13500.0
권희동,1.32,55,171,133,25,35,3,0,8,62,26,2,0,29,5,1,24,4,1,3,0.263,0.406,0.466,0.872,0.4,136.7,0.63,NC,2021,LF,11000.0
박석민,1.32,59,205,171,27,44,8,0,10,82,41,0,0,27,2,1,43,8,3,2,0.257,0.361,0.48,0.841,0.377,121.5,0.01,NC,2021,3B,70000.0
오윤석,1.31,63,197,168,31,50,7,1,4,71,32,2,1,24,2,0,47,2,1,2,0.298,0.388,0.423,0.81,0.373,117.0,0.44,롯데,2020,2B,4000.0
한유섬,1.31,62,231,193,35,48,5,0,15,98,31,2,0,30,6,1,49,8,0,2,0.249,0.364,0.508,0.871,0.383,121.2,0.56,SSG,2020,RF,
윤석민,1.3,108,418,361,54,106,24,1,14,174,71,3,2,37,8,1,62,16,5,7,0.294,0.366,0.482,0.848,0.37,111.1,2.38,키움,2015,3B,16000.0
이택근,1.3,104,356,308,40,95,25,1,4,134,52,1,0,32,9,0,44,14,3,4,0.308,0.385,0.435,0.82,0.365,109.9,1.04,키움,2018,DH,
박세혁,1.29,128,402,351,33,87,13,1,3,111,41,2,2,33,6,1,71,4,8,4,0.248,0.32,0.316,0.636,0.295,80.4,-1.26,두산,2022,C,30000.0
이원석,1.29,121,467,403,46,108,17,0,13,164,74,0,1,49,2,1,82,7,1,12,0.268,0.341,0.407,0.748,0.338,94.3,0.22,삼성,2020,3B,30000.0
허정협,1.28,111,360,314,45,84,12,0,10,126,43,0,0,40,2,0,73,7,3,1,0.268,0.353,0.401,0.754,0.346,104.5,1.38,키움,2020,LF,7000.0
류지혁,1.28,92,327,273,37,76,8,0,2,90,34,0,0,42,7,1,46,7,2,3,0.278,0.385,0.33,0.714,0.348,104.4,-0.08,KIA,2021,3B,10500.0
장영석,1.27,60,212,186,30,50,14,0,12,100,38,0,0,17,9,0,50,4,0,0,0.269,0.359,0.538,0.896,0.386,128.2,1.09,키움,2017,1B,6000.0
박해민,1.26,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.3,76.8,-1.36,삼성,2019,CF,30000.0
이지영,1.26,137,450,420,38,112,13,4,2,139,37,1,1,20,2,2,44,16,8,0,0.267,0.303,0.331,0.634,0.29,75.6,-1.85,키움,2022,C,30000.0
김원섭,1.26,110,341,277,45,74,13,3,5,108,33,8,5,53,3,0,46,5,6,2,0.267,0.388,0.39,0.778,0.357,103.2,0.82,KIA,2015,CF,15000.0
박세혁,1.26,89,194,170,37,48,12,0,3,69,22,5,0,16,4,0,55,0,3,1,0.282,0.356,0.406,0.762,0.337,95.0,-0.66,두산,2018,C,
최주환,1.25,100,270,238,34,67,16,2,5,102,32,0,3,25,3,2,34,6,3,1,0.282,0.356,0.429,0.784,0.349,104.7,0.1,두산,2015,3B,11000.0
노수광,1.24,131,425,382,72,109,18,3,6,151,39,16,9,25,9,2,84,3,4,5,0.285,0.34,0.395,0.735,0.327,87.0,0.2,KIA,2017,SCF,
황성빈,1.23,102,353,320,62,94,12,4,1,117,16,10,12,22,2,0,55,2,7,2,0.294,0.341,0.366,0.707,0.324,95.3,-0.39,롯데,2022,CF,0.0
반즈,1.23,74,319,283,38,75,17,1,9,121,42,2,1,27,7,1,81,4,0,2,0.265,0.342,0.428,0.769,0.349,104.5,0.31,한화,2020,1B,
김성욱,1.23,130,348,306,60,81,15,1,15,143,51,5,2,30,3,0,64,15,7,2,0.265,0.334,0.467,0.802,0.348,94.9,0.57,NC,2016,CF,10000.0
유민상,1.23,61,202,175,23,51,15,0,5,81,26,0,0,23,4,0,35,6,0,0,0.291,0.386,0.463,0.849,0.391,139.6,0.46,KIA,2019,1B,6000.0
김태군,1.22,102,235,205,20,61,11,0,2,78,25,0,0,17,4,0,34,15,6,3,0.298,0.358,0.38,0.739,0.337,106.3,-0.17,삼성,2022,C,20000.0
이원석,1.22,131,480,399,40,92,19,0,9,138,59,1,0,60,11,2,80,11,2,8,0.231,0.341,0.346,0.687,0.327,89.8,-0.29,삼성,2021,3B,30000.0
페게로,1.22,52,214,199,24,57,10,0,9,94,44,2,1,12,2,0,63,2,0,1,0.286,0.332,0.472,0.804,0.364,127.3,1.8,LG,2019,1B,
손시헌,1.2,140,508,440,56,108,24,2,13,175,58,3,2,36,14,0,66,16,13,5,0.245,0.319,0.398,0.717,0.315,78.6,0.23,NC,2015,SS,40000.0
라가레스,1.19,49,202,180,24,57,9,0,6,84,32,3,1,14,1,1,18,4,4,3,0.317,0.364,0.467,0.83,0.368,126.9,1.19,SSG,2022,LF,
이재원,1.19,85,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0,0.224,0.316,0.453,0.769,0.346,122.0,0.61,LG,2022,DH,5200.0
초이스,1.19,96,397,349,55,90,19,0,17,160,61,2,1,33,10,2,79,4,0,5,0.258,0.335,0.458,0.794,0.341,97.2,0.78,키움,2018,RF,
박세혁,1.19,97,237,201,41,57,8,0,5,80,26,2,1,19,5,0,44,1,8,4,0.284,0.354,0.398,0.752,0.329,91.5,0.25,두산,2017,C,10000.0
김준완,1.18,122,325,253,60,66,7,1,1,78,12,2,5,66,2,0,62,4,2,1,0.261,0.416,0.308,0.724,0.36,102.6,0.38,NC,2016,CF,7000.0
조영훈,1.18,109,207,179,29,60,14,0,5,89,35,3,3,21,3,1,43,2,1,3,0.335,0.408,0.497,0.905,0.404,131.7,0.5,NC,2016,1B,0.0
이병규,1.18,103,350,290,43,79,12,2,7,116,37,8,5,47,10,1,81,4,0,3,0.272,0.389,0.4,0.789,0.368,108.1,1.14,LG,2016,LF,12000.0
이승엽,1.18,135,533,472,65,132,30,5,24,244,87,1,1,47,6,6,85,7,0,8,0.28,0.347,0.517,0.864,0.367,111.1,1.93,삼성,2017,DH,
피터스,1.18,85,354,316,32,72,16,0,13,127,48,7,4,26,8,1,77,5,0,4,0.228,0.299,0.402,0.701,0.319,93.7,1.09,롯데,2022,CF,
김인태,1.17,83,279,235,25,58,6,0,5,79,25,1,0,41,3,1,47,6,0,0,0.247,0.366,0.336,0.702,0.337,109.9,0.08,두산,2022,RF,14000.0
양석환,1.15,132,496,445,62,117,27,3,14,192,83,3,7,38,6,2,93,13,2,5,0.263,0.326,0.431,0.757,0.331,93.4,-0.65,LG,2017,3B,16000.0
최재원,1.15,28,105,81,20,27,3,0,4,42,16,3,1,17,3,0,17,2,2,2,0.333,0.456,0.519,0.975,0.432,146.5,0.96,삼성,2016,3B,
안권수,1.15,76,267,239,43,71,7,2,0,82,20,3,4,26,1,0,40,6,1,0,0.297,0.368,0.343,0.712,0.339,108.3,-0.47,두산,2022,RF,
김병희,1.15,34,69,51,16,15,3,0,5,33,13,3,0,13,3,0,14,0,2,0,0.294,0.463,0.647,1.11,0.476,189.8,1.1,kt,2021,3B,4700.0
박찬호,1.15,131,483,418,51,103,15,5,1,131,59,9,4,54,0,0,73,11,8,3,0.246,0.331,0.313,0.644,0.308,77.7,0.17,KIA,2021,SS,12000.0
이지영,1.14,101,289,262,22,81,10,2,0,95,36,1,1,19,4,1,28,8,3,1,0.309,0.364,0.363,0.726,0.338,95.4,0.37,키움,2020,C,30000.0
김헌곤,1.14,118,364,317,38,89,8,2,4,113,27,5,4,34,5,0,46,9,3,5,0.281,0.355,0.356,0.711,0.338,98.1,-1.03,삼성,2021,LF,18000.0
로맥,1.13,107,421,355,55,80,11,0,20,151,52,1,0,59,4,1,83,9,0,3,0.225,0.34,0.425,0.765,0.354,105.5,-0.59,SSG,2021,1B,
정수빈,1.13,127,455,405,58,105,12,4,3,134,41,15,8,39,1,1,56,2,6,4,0.259,0.323,0.331,0.654,0.303,85.3,0.81,두산,2022,CF,60000.0
이원석,1.12,88,335,288,31,77,13,0,10,120,60,0,0,33,5,2,70,7,3,6,0.267,0.346,0.417,0.763,0.345,110.2,1.31,삼성,2022,3B,30000.0
김호재,1.11,65,138,118,19,38,5,0,1,46,10,2,0,16,3,0,19,1,1,0,0.322,0.416,0.39,0.806,0.381,124.4,0.03,삼성,2020,3B,4000.0
박정음,1.1,98,263,223,45,69,5,3,4,92,26,16,9,30,3,0,52,5,5,2,0.309,0.395,0.413,0.808,0.37,103.8,0.81,키움,2016,CF,6600.0
이대호,1.1,114,465,420,39,120,11,0,19,188,81,0,0,34,5,3,50,12,0,6,0.286,0.342,0.448,0.79,0.361,111.3,1.44,롯데,2021,DH,80000.0
고종욱,1.09,119,443,407,81,126,25,4,10,189,51,22,14,25,6,1,81,10,4,1,0.31,0.358,0.464,0.822,0.364,108.7,1.29,키움,2015,LF,7700.0
백창수,1.09,52,122,101,15,33,9,0,4,54,18,1,0,12,4,0,18,4,3,2,0.327,0.412,0.535,0.946,0.404,143.0,0.5,LG,2017,LF,
황대인,1.08,129,524,476,40,122,27,0,14,191,91,0,0,36,7,2,92,20,0,5,0.256,0.315,0.401,0.716,0.327,100.0,-1.18,KIA,2022,1B,6500.0
정수빈,1.06,26,112,98,20,36,2,1,2,46,23,5,2,11,1,0,13,1,0,2,0.367,0.429,0.469,0.898,0.402,136.7,0.89,두산,2018,CF,
문보경,1.06,107,329,278,37,64,11,1,8,101,39,3,1,46,0,1,64,5,3,2,0.23,0.337,0.363,0.701,0.329,97.1,0.79,LG,2021,1B,6800.0
샌즈,1.05,25,93,86,17,27,1,1,12,66,37,0,1,6,0,0,27,2,0,1,0.314,0.355,0.767,1.122,0.445,171.5,2.12,키움,2018,RF,50000.0
지시완,1.04,73,187,166,23,40,9,0,7,70,26,0,0,14,5,0,54,6,2,0,0.241,0.319,0.422,0.741,0.34,96.8,0.01,롯데,2021,C,6000.0
오정복,1.04,81,213,195,24,69,13,0,2,88,16,0,1,9,5,0,24,5,3,1,0.354,0.395,0.451,0.847,0.378,117.8,0.37,kt,2017,LF,0.0
김성욱,1.04,111,358,323,49,84,13,2,13,140,45,11,2,29,1,0,64,10,2,3,0.26,0.32,0.433,0.754,0.326,86.0,0.42,NC,2018,CF,
송광민,1.04,122,486,454,50,119,21,0,7,161,51,8,2,21,3,0,91,18,3,5,0.262,0.296,0.355,0.651,0.3,80.0,-1.6,한화,2019,3B,25000.0
이지영,1.03,124,400,361,36,110,10,1,1,125,55,1,2,14,4,0,32,10,16,5,0.305,0.333,0.346,0.68,0.303,69.6,0.71,삼성,2015,C,21000.0
김강민,1.03,96,328,293,43,72,17,0,4,101,31,7,4,23,7,0,83,6,4,1,0.246,0.315,0.345,0.66,0.302,72.9,-0.12,SSG,2015,CF,60000.0
이대호,1.02,144,611,542,67,158,27,0,20,245,110,1,0,53,5,9,68,21,0,11,0.292,0.354,0.452,0.806,0.357,106.1,3.56,롯데,2020,DH,250000.0
전병우,1.02,27,77,66,18,24,7,0,3,40,13,3,0,9,1,0,24,1,0,1,0.364,0.442,0.606,1.048,0.447,163.5,0.75,롯데,2018,3B,
강한울,1.02,135,448,412,58,125,9,3,0,140,24,12,7,26,0,0,57,4,9,1,0.303,0.344,0.34,0.684,0.312,77.8,-1.46,삼성,2017,SS,15500.0
조수행,1.01,115,104,84,34,24,2,1,1,31,8,21,4,16,3,0,26,1,1,0,0.286,0.418,0.369,0.787,0.381,128.1,0.48,두산,2021,CF,8500.0
박계범,1.01,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,0.256,0.354,0.387,0.74,0.336,99.9,-0.34,삼성,2019,SS,5500.0
이홍구,1.01,106,273,241,27,64,16,2,9,111,45,0,1,19,4,1,66,5,3,6,0.266,0.322,0.461,0.783,0.338,85.2,-0.74,KIA,2016,C,
전의산,1.0,77,266,241,36,60,15,1,13,116,45,0,0,24,0,3,84,6,0,1,0.249,0.316,0.481,0.797,0.353,114.0,0.2,SSG,2022,1B,
하주석,1.0,115,441,405,58,113,21,1,10,166,57,5,7,18,9,1,115,3,8,1,0.279,0.323,0.41,0.733,0.326,77.1,0.9,한화,2016,SS,9000.0
모창민,1.0,63,147,133,16,44,8,0,5,67,20,3,2,9,1,0,24,7,1,3,0.331,0.37,0.504,0.874,0.384,118.4,0.46,NC,2016,3B,11700.0
김혜성,1.0,136,473,430,79,116,15,6,5,158,45,31,6,33,5,1,119,6,3,2,0.27,0.328,0.367,0.695,0.311,75.0,0.25,키움,2018,2B,
김민혁,1.0,127,521,466,68,131,10,1,0,143,32,22,10,32,13,0,61,8,5,5,0.281,0.341,0.307,0.648,0.309,82.7,-0.27,kt,2019,LF,9000.0
지석훈,0.98,137,466,415,53,111,15,0,11,159,46,4,1,23,16,0,85,9,9,3,0.267,0.328,0.383,0.711,0.319,81.0,0.31,NC,2015,3B,14000.0
나주환,0.98,119,420,362,54,95,24,0,12,155,56,5,6,38,5,0,66,2,13,2,0.262,0.339,0.428,0.767,0.328,85.9,0.65,SSG,2018,SS,
이지영,0.98,129,419,390,36,116,12,0,7,149,50,3,2,12,7,0,32,13,8,2,0.297,0.329,0.382,0.711,0.321,75.2,-0.03,삼성,2016,C,26000.0
이병규,0.97,53,194,164,28,45,4,0,9,76,32,0,0,28,1,0,55,5,0,1,0.274,0.381,0.463,0.845,0.383,123.9,0.91,롯데,2020,1B,5500.0
김민성,0.96,87,333,297,29,79,20,0,5,114,47,2,1,24,4,2,66,8,4,4,0.266,0.325,0.384,0.709,0.319,87.8,-0.3,LG,2020,3B,40000.0
김준태,0.95,128,369,306,38,69,12,2,5,100,43,2,2,56,1,0,64,5,3,3,0.225,0.344,0.327,0.671,0.318,81.7,0.11,롯데,2020,C,3800.0
김태연,0.95,119,464,404,46,97,18,0,7,136,53,3,2,48,5,1,106,9,3,4,0.24,0.325,0.337,0.662,0.31,89.1,-1.45,한화,2022,3B,5600.0
모창민,0.95,81,314,287,38,80,10,1,17,143,62,2,3,21,2,0,51,10,0,4,0.279,0.328,0.498,0.826,0.351,101.4,1.7,NC,2018,3B,
강승호,0.94,113,340,301,47,72,16,2,7,113,37,8,2,22,6,1,78,8,8,3,0.239,0.301,0.375,0.677,0.307,81.8,-0.93,두산,2021,2B,11500.0
송성문,0.94,66,274,245,30,61,10,1,6,91,33,0,0,25,1,0,42,2,2,1,0.249,0.32,0.371,0.691,0.323,90.2,0.26,키움,2021,3B,7500.0
아수아헤,0.94,48,194,163,34,41,5,4,2,60,21,3,2,26,1,1,24,0,3,1,0.252,0.356,0.368,0.724,0.334,102.2,0.63,롯데,2019,2B,
이형종,0.93,90,281,239,32,52,11,0,10,93,34,3,1,34,7,1,65,10,1,0,0.218,0.332,0.389,0.721,0.338,104.8,-2.58,LG,2021,DH,12000.0
김강민,0.93,122,327,289,39,73,11,1,12,122,45,7,5,27,4,2,62,10,5,2,0.253,0.323,0.422,0.745,0.329,88.0,0.17,SSG,2020,CF,
안중열,0.92,58,157,125,19,29,5,0,3,43,16,0,0,27,1,0,25,1,3,1,0.232,0.37,0.344,0.714,0.341,98.7,0.36,롯데,2021,C,6400.0
서상우,0.92,58,171,159,29,54,8,0,6,80,22,5,1,9,3,0,31,2,0,0,0.34,0.386,0.503,0.889,0.398,140.0,1.14,LG,2015,DH,6000.0
박동원,0.92,103,284,256,33,69,9,0,11,111,39,2,1,17,3,0,56,9,6,2,0.27,0.32,0.434,0.754,0.325,86.5,-0.26,키움,2017,C,18000.0
권희동,0.92,104,391,343,43,97,19,1,8,142,57,1,3,35,4,2,58,5,5,4,0.283,0.352,0.414,0.766,0.335,92.3,1.78,NC,2018,LF,
조영훈,0.92,103,146,124,20,35,8,0,8,67,35,3,0,19,0,0,36,1,1,2,0.282,0.372,0.54,0.913,0.392,129.5,0.65,NC,2015,1B,11000.0
로메로,0.92,76,305,265,30,67,16,0,12,119,50,2,0,29,4,1,48,9,0,7,0.253,0.328,0.449,0.777,0.34,104.2,-0.84,두산,2015,1B,
정은원,0.92,79,303,254,28,63,9,2,3,85,29,1,1,41,5,0,41,4,2,1,0.248,0.362,0.335,0.697,0.332,94.1,-0.2,한화,2020,2B,12000.0
노수광,0.91,77,238,207,43,64,4,2,4,84,30,12,2,20,1,0,46,0,10,0,0.309,0.373,0.406,0.779,0.347,90.9,0.01,KIA,2016,RF,
배영섭,0.91,92,244,218,39,66,11,1,6,97,26,1,0,19,3,1,44,5,3,1,0.303,0.365,0.445,0.81,0.357,106.3,-0.09,삼성,2017,LF,13000.0
조셉,0.91,55,217,197,17,54,3,0,9,84,36,0,1,14,4,0,46,3,0,2,0.274,0.332,0.426,0.758,0.347,115.6,0.07,LG,2019,1B,
박찬호,0.91,133,541,504,60,131,15,4,2,160,49,39,6,26,4,0,83,8,5,2,0.26,0.3,0.317,0.618,0.289,68.7,-0.19,KIA,2019,3B,10500.0
박석민,0.91,103,375,318,40,81,14,1,16,145,55,1,0,39,15,4,80,11,0,3,0.255,0.36,0.456,0.816,0.354,103.4,1.51,NC,2018,DH,
정훈,0.91,91,194,174,33,53,10,1,7,86,26,4,2,16,1,1,39,4,0,3,0.305,0.361,0.494,0.855,0.367,110.7,-0.31,롯데,2018,1B,
박찬호,0.91,133,541,504,60,131,15,4,2,160,49,39,6,26,4,0,83,8,5,2,0.26,0.3,0.317,0.618,0.289,68.7,-0.19,LG,2019,3B,0.0
이해창,0.9,114,283,254,33,69,11,0,11,113,44,1,4,19,1,1,50,5,6,2,0.272,0.323,0.445,0.767,0.327,84.1,-0.0,kt,2017,C,7100.0
김지찬,0.9,120,336,296,50,81,6,0,1,90,26,23,4,27,0,0,31,0,10,3,0.274,0.331,0.304,0.635,0.3,73.4,0.08,삼성,2021,SS,11000.0
채태인,0.9,130,420,376,44,110,18,0,15,173,75,0,0,34,5,3,107,10,1,4,0.293,0.356,0.46,0.816,0.353,101.8,1.62,롯데,2018,1B,
오선진,0.89,65,209,184,23,57,11,0,2,74,21,3,5,15,4,0,22,5,4,2,0.31,0.371,0.402,0.773,0.346,99.0,-0.26,한화,2017,2B,8600.0
안익훈,0.89,108,248,219,38,70,5,0,1,78,16,3,2,18,4,0,28,3,5,2,0.32,0.379,0.356,0.735,0.337,93.6,0.99,LG,2017,CF,9000.0
오승택,0.89,62,199,187,36,52,11,1,4,77,22,9,0,11,0,0,39,4,0,1,0.278,0.317,0.412,0.728,0.334,101.2,0.48,,2019,1B,
이지영,0.88,106,331,308,40,87,5,1,1,97,39,5,1,15,1,1,28,14,6,1,0.282,0.317,0.315,0.632,0.293,73.3,-1.51,키움,2019,C,30000.0
김강민,0.88,122,260,223,43,53,12,1,8,91,27,3,3,25,6,1,52,3,3,3,0.238,0.327,0.408,0.735,0.336,95.1,-0.65,SSG,2021,CF,
김민혁,0.87,75,198,171,22,54,6,2,1,67,13,6,3,20,2,0,27,3,5,0,0.316,0.394,0.392,0.786,0.367,115.7,0.14,두산,2021,LF,3200.0
김민혁,0.87,75,198,171,22,54,6,2,1,67,13,6,3,20,2,0,27,3,5,0,0.316,0.394,0.392,0.786,0.367,115.7,0.14,kt,2021,LF,9000.0
정주현,0.85,115,339,303,48,79,14,2,6,115,31,18,3,27,2,0,68,9,6,1,0.261,0.324,0.38,0.704,0.31,76.9,1.63,LG,2018,2B,
채태인,0.85,71,189,160,11,45,5,0,7,71,24,0,0,29,0,2,33,4,0,0,0.281,0.392,0.444,0.835,0.38,121.5,-0.39,SSG,2020,DH,
박동원,0.85,127,454,411,44,102,25,1,14,171,70,3,1,27,7,0,93,18,6,3,0.248,0.304,0.416,0.72,0.317,71.1,-1.14,키움,2016,C,20000.0
오윤석,0.84,111,337,286,23,67,13,0,6,98,37,2,1,34,6,0,69,9,5,6,0.234,0.322,0.343,0.665,0.308,86.1,0.26,kt,2022,2B,9000.0
발디리스,0.84,44,190,154,24,41,6,0,8,71,33,0,0,31,2,0,17,9,0,3,0.266,0.39,0.461,0.851,0.384,115.5,0.47,삼성,2016,3B,
박정권,0.84,125,468,422,59,117,17,3,18,194,59,4,0,35,5,0,99,7,2,4,0.277,0.337,0.46,0.797,0.353,95.5,1.68,SSG,2016,1B,40000.0
김민식,0.84,125,365,310,53,76,9,3,6,109,37,5,2,39,3,0,63,8,11,2,0.245,0.333,0.352,0.685,0.304,71.1,-0.92,,2018,C,
하주석,0.83,72,281,262,22,75,11,0,2,92,32,4,1,13,2,0,66,3,2,2,0.286,0.323,0.351,0.674,0.312,81.0,-0.5,한화,2020,SS,14000.0
박민우,0.83,50,215,180,30,47,5,3,1,61,18,12,3,22,7,0,23,4,4,2,0.261,0.36,0.339,0.699,0.333,94.8,-0.5,NC,2021,2B,41000.0
노시환,0.83,107,387,346,46,76,18,2,12,134,43,0,1,33,6,1,116,8,1,1,0.22,0.298,0.387,0.685,0.31,78.7,-2.1,한화,2020,3B,3300.0
김민성,0.83,121,426,360,35,80,22,0,8,126,39,3,3,42,8,2,73,7,11,5,0.222,0.313,0.35,0.663,0.305,80.7,-0.6,LG,2021,3B,18000.0
김성훈,0.82,47,166,151,27,48,4,2,0,56,18,4,2,12,1,0,16,2,1,1,0.318,0.37,0.371,0.741,0.341,97.0,0.12,삼성,2017,2B,4700.0
신본기,0.82,25,104,81,13,25,4,0,1,32,10,0,1,13,8,0,12,3,2,0,0.309,0.451,0.395,0.846,0.402,128.1,0.52,롯데,2016,SS,5500.0
이천웅,0.82,103,320,276,38,81,10,1,6,111,41,6,9,34,3,0,49,3,6,1,0.293,0.376,0.402,0.778,0.356,100.0,1.13,LG,2016,RF,9300.0
터커,0.81,127,539,468,42,111,24,1,9,164,59,0,0,61,8,1,66,12,0,2,0.237,0.334,0.35,0.684,0.327,91.0,0.02,,2021,LF,
모창민,0.81,103,239,214,23,62,14,0,6,94,35,5,0,18,0,0,52,5,4,3,0.29,0.34,0.439,0.78,0.342,96.3,-1.21,NC,2015,3B,12500.0
이성열,0.81,86,219,198,29,57,7,3,10,100,29,0,0,11,8,0,62,3,2,0,0.288,0.35,0.505,0.855,0.374,107.5,0.53,한화,2016,LF,23000.0
히메네스,0.81,51,198,181,29,50,6,1,7,79,30,3,5,13,3,0,19,8,0,1,0.276,0.333,0.436,0.77,0.341,100.6,-0.31,LG,2017,3B,
오태곤,0.81,122,253,235,47,63,10,0,9,100,35,9,4,14,2,0,52,4,1,1,0.268,0.314,0.426,0.739,0.339,97.0,-0.33,SSG,2021,1B,
오태곤,0.8,94,258,234,36,64,12,1,5,93,35,15,6,13,7,0,47,6,4,0,0.274,0.331,0.397,0.728,0.33,89.7,0.08,,2020,SLF,
이천웅,0.8,75,266,232,35,66,14,0,2,86,27,8,3,24,6,2,45,10,4,0,0.284,0.366,0.371,0.737,0.335,93.0,2.38,LG,2017,LF,8000.0
