이름,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,소속팀,연도,연봉
심창민,1.17,61,0,0,0,6,3,0,9,67.1,32,32,280,54,13,0,7,24,1,5,91,0,2,4.28,3.51,1.16,115.4,139.8,0.05,삼성,2015,14000.0
정영일,1.17,44,0,0,0,1,2,1,8,42.0,15,15,175,32,3,1,1,22,2,1,35,0,2,3.21,3.55,1.29,132.4,118.9,0.44,SSG,2019,11000.0
보우덴,1.17,17,0,0,17,3,5,0,0,87.1,47,45,389,90,14,1,15,38,0,6,51,1,6,4.64,6.31,1.47,103.8,75.6,-1.07,두산,2017,
박종훈,1.17,33,0,0,23,6,8,0,0,118.0,74,68,530,123,27,0,7,53,1,17,105,0,5,5.19,4.36,1.49,93.1,110.4,-1.17,SSG,2015,7000.0
심재민,1.17,28,0,0,2,0,1,0,1,46.2,15,15,189,41,4,0,4,11,1,0,35,0,0,2.89,3.59,1.11,155.3,123.8,-0.07,kt,2021,8200.0
이정용,1.16,65,0,0,0,4,4,1,22,59.1,26,21,250,52,12,1,3,18,3,2,40,0,3,3.19,3.51,1.18,124.8,114.4,-0.22,LG,2022,5000.0
정찬헌,1.16,66,0,0,0,5,3,27,0,65.0,36,35,299,76,14,0,5,24,3,7,50,0,2,4.85,4.59,1.54,104.1,110.3,-1.7,LG,2018,
이승현,1.16,34,0,0,0,2,1,0,8,37.0,11,8,147,28,3,0,2,11,0,1,31,0,2,1.95,3.4,1.05,223.0,124.8,0.36,삼성,2019,10000.0
마정길,1.16,61,0,0,0,6,1,0,12,63.2,33,29,282,61,16,2,10,34,0,4,52,0,1,4.1,5.99,1.49,128.1,86.4,-0.35,키움,2016,0.0
유원상,1.16,62,0,0,0,2,1,2,9,64.0,32,27,271,52,12,0,8,28,1,1,37,0,5,3.8,5.34,1.25,126.5,89.0,0.01,kt,2020,8000.0
류진욱,1.15,44,0,0,0,1,0,1,7,43.1,15,10,190,40,6,1,2,22,0,0,31,0,4,2.08,4.03,1.43,218.6,111.9,0.55,NC,2021,7500.0
김대우,1.15,46,0,0,1,0,1,0,0,49.1,22,17,216,48,11,0,1,26,1,2,43,1,5,3.1,3.72,1.5,157.1,128.4,-0.94,롯데,2020,2900.0
장민재,1.15,34,0,0,3,6,2,0,1,59.2,33,31,266,62,14,2,7,23,0,1,42,0,1,4.68,5.16,1.43,113.3,103.2,-0.44,한화,2018,
이승호,1.14,24,0,0,23,6,6,0,0,118.2,71,67,517,132,20,1,15,40,0,5,73,1,3,5.08,5.11,1.45,92.9,90.8,0.23,키움,2020,8500.0
주권,1.14,58,0,0,0,3,3,1,15,50.2,22,22,203,58,7,1,3,8,0,0,31,0,0,3.91,3.36,1.3,105.4,121.5,0.86,kt,2022,29500.0
유먼,1.13,17,0,0,17,4,6,0,0,91.2,52,46,406,96,16,0,9,38,1,4,56,1,3,4.52,5.01,1.46,110.3,98.3,-0.26,한화,2015,
배영수,1.13,25,1,0,25,7,8,0,0,128.0,82,72,575,155,29,2,17,29,0,13,86,2,2,5.06,5.1,1.44,99.3,99.2,-1.32,한화,2017,50000.0
배장호,1.12,72,0,0,0,8,1,0,6,66.1,36,32,287,70,17,1,9,19,5,8,47,0,2,4.34,5.08,1.34,116.0,99.1,-0.94,롯데,2017,13000.0
장지훈,1.11,60,0,0,0,2,5,1,10,80.1,40,35,342,84,12,2,6,19,1,4,51,1,1,3.92,3.86,1.28,114.4,117.5,-0.67,SSG,2021,
심재민,1.1,64,0,0,2,1,7,0,13,74.2,48,43,344,86,12,1,11,31,2,4,69,1,4,5.18,5.13,1.57,97.8,97.5,-3.39,kt,2017,
라이블리,1.1,9,1,1,9,4,4,0,0,57.0,26,25,236,51,9,4,4,13,0,5,58,0,0,3.95,3.23,1.12,109.9,132.1,0.25,삼성,2019,50000.0
정대현,1.1,30,0,0,26,5,11,0,0,118.0,80,68,542,138,26,1,19,62,0,4,82,0,6,5.19,6.0,1.7,96.9,81.4,-2.48,kt,2015,6300.0
윌슨,1.1,25,0,0,25,10,8,0,0,144.2,81,71,628,161,23,2,13,39,0,8,109,1,3,4.42,4.19,1.38,104.8,110.2,-0.67,LG,2020,
원종현,1.09,58,0,0,0,3,5,30,0,57.0,30,27,245,56,5,1,4,20,1,2,41,0,4,4.26,4.13,1.33,114.6,116.7,0.6,NC,2020,26000.0
한현희,1.09,25,0,0,25,7,9,0,0,135.2,77,75,587,141,20,1,10,37,2,14,109,2,3,4.98,3.99,1.31,94.8,116.8,0.38,키움,2020,29000.0
서진용,1.09,63,0,0,0,2,7,8,12,61.0,33,28,264,52,4,1,11,34,1,1,56,0,7,4.13,5.74,1.41,116.8,85.4,-1.57,SSG,2020,
김유영,1.09,40,0,0,1,0,0,0,2,48.2,24,24,217,52,8,0,5,25,2,3,41,0,7,4.44,4.99,1.58,113.5,100.7,-0.45,롯데,2017,
홍건희,1.09,58,0,0,0,2,9,18,9,62.0,30,24,265,58,9,0,5,21,3,2,60,0,4,3.48,3.42,1.27,114.2,116.0,0.16,두산,2022,25000.0
오주원,1.09,55,0,0,0,3,2,2,7,51.0,25,25,220,50,7,1,3,17,0,4,40,0,0,4.41,4.22,1.31,119.0,122.9,0.31,키움,2016,12000.0
김재영,1.08,20,0,0,15,5,7,0,0,85.1,51,43,370,101,16,0,9,19,0,12,51,0,3,4.54,5.0,1.41,110.9,101.0,-1.29,한화,2017,5300.0
신재웅,1.07,32,0,0,0,0,1,2,4,31.0,11,11,126,23,6,1,3,15,0,0,29,0,1,3.19,4.57,1.23,157.6,110.4,0.36,SSG,2017,11000.0
우규민,1.07,60,0,0,0,4,3,1,16,47.0,21,17,201,55,11,0,3,6,2,4,31,1,0,3.26,3.36,1.3,128.2,122.7,-0.31,삼성,2022,20000.0
브랜든,1.07,11,0,0,11,5,3,0,0,65.0,29,26,276,56,10,0,5,24,0,1,40,1,2,3.6,4.26,1.23,110.5,93.5,0.65,두산,2022,
장시환,1.07,53,0,0,0,4,4,0,10,51.1,28,25,228,48,9,0,6,31,3,4,57,0,8,4.38,4.9,1.54,115.1,102.5,-1.15,kt,2017,
이보근,1.06,67,0,0,0,5,7,0,25,64.2,36,32,290,69,13,3,3,27,1,6,56,0,5,4.45,4.15,1.49,117.9,125.2,-0.33,키움,2016,15000.0
마리몬,1.06,12,0,0,12,6,4,0,0,62.0,38,36,275,60,13,2,3,29,0,6,45,0,8,5.23,4.66,1.44,100.0,112.0,-0.47,kt,2016,
권오준,1.06,47,0,0,0,3,1,1,2,43.1,21,19,189,43,7,0,7,12,0,3,52,0,2,3.95,4.57,1.27,134.4,115.0,-0.11,삼성,2018,
김태훈,1.05,71,0,0,0,4,5,7,27,69.2,33,31,296,62,8,0,4,26,0,4,76,0,7,4.0,3.26,1.26,106.3,130.9,0.42,SSG,2019,24000.0
박시영,1.05,43,0,0,6,1,1,0,4,61.2,30,29,262,51,10,1,5,27,0,4,60,0,7,4.23,4.02,1.27,99.1,104.3,0.73,롯데,2019,7900.0
임현준,1.05,51,0,0,0,1,1,0,5,25.1,7,5,109,24,3,0,2,7,1,6,18,0,1,1.78,4.58,1.22,276.1,106.2,0.42,삼성,2020,10000.0
홍성용,1.04,42,0,0,0,0,4,0,10,39.2,19,17,174,39,9,1,3,13,2,6,31,0,1,3.86,4.32,1.31,129.9,114.0,-0.02,NC,2015,
주현상,1.04,43,0,0,0,2,2,0,4,50.1,21,20,218,46,6,3,6,21,2,1,33,0,6,3.58,4.76,1.33,122.5,93.6,-0.26,한화,2021,5080.0
김강률,1.04,65,0,0,0,5,0,6,11,76.0,42,39,317,72,10,0,7,24,1,3,81,0,6,4.62,3.93,1.26,109.4,128.3,1.51,두산,2018,
파슨스,1.04,8,0,0,8,1,2,0,0,43.0,19,17,182,34,4,2,4,21,0,1,43,0,8,3.56,4.08,1.28,114.5,100.7,0.12,NC,2022,
이동현,1.04,60,0,0,0,5,5,4,11,59.1,33,29,258,65,13,0,4,20,5,2,55,0,7,4.4,3.5,1.43,106.7,134.8,-0.27,LG,2015,60000.0
오현택,1.04,48,0,0,0,3,1,0,7,36.0,15,15,152,37,6,1,5,8,1,2,17,0,1,3.75,5.17,1.25,129.9,92.9,0.1,롯데,2020,7500.0
박근홍,1.03,66,0,0,0,2,2,0,8,48.2,20,16,212,39,8,0,3,24,0,6,55,0,5,2.96,4.01,1.3,166.9,123.0,-0.96,삼성,2015,11000.0
최지광,1.03,63,0,0,0,3,8,2,10,68.0,33,31,303,64,9,3,4,40,3,5,60,0,3,4.1,4.26,1.53,105.8,99.5,-0.71,삼성,2019,8000.0
이건욱,1.03,27,0,0,25,6,12,0,0,122.0,77,77,542,105,16,4,11,81,0,6,91,1,6,5.68,5.38,1.53,84.9,90.3,-1.61,SSG,2020,
이민호,1.03,45,0,0,21,9,9,2,3,130.2,90,80,603,159,29,3,18,55,0,6,102,0,10,5.51,5.42,1.64,92.4,95.1,-1.25,NC,2016,16000.0
윤산흠,1.03,37,0,0,0,1,1,0,3,33.2,12,10,155,23,7,0,1,30,4,2,46,0,6,2.67,3.49,1.57,151.4,117.0,0.15,한화,2022,3100.0
김재영,1.03,29,0,0,21,6,4,0,1,111.1,74,70,503,136,32,1,15,37,0,12,56,0,4,5.66,5.9,1.55,93.6,90.1,-1.08,한화,2018,7100.0
오주원,1.03,57,0,0,3,2,7,1,18,73.2,44,39,329,96,22,1,10,15,1,2,56,0,6,4.76,4.63,1.51,104.4,105.2,-0.11,키움,2017,15000.0
소형준,1.02,24,0,0,24,7,7,0,0,119.0,67,55,521,123,17,0,6,51,1,4,85,0,5,4.16,3.92,1.46,108.0,113.3,-0.52,kt,2021,20000.0
김재윤,1.02,42,0,0,0,1,2,0,6,44.2,23,21,188,46,9,0,3,12,2,1,70,0,1,4.23,2.09,1.3,118.8,240.5,-0.84,kt,2015,7200.0
심수창,1.02,48,0,0,0,3,1,2,2,57.0,32,30,260,71,13,3,8,22,1,2,54,0,4,4.74,4.88,1.63,106.2,104.0,-1.86,한화,2017,20000.0
김재윤,1.02,52,0,0,0,8,1,14,1,54.1,31,30,235,61,13,0,6,15,0,1,73,0,3,4.97,3.42,1.4,105.2,154.1,1.22,kt,2016,9000.0
라미레즈,1.02,13,0,0,13,2,6,0,0,65.1,33,30,285,52,6,0,4,37,0,7,47,1,0,4.13,4.72,1.36,98.0,86.4,0.13,한화,2022,
우규민,1.02,60,0,0,0,3,3,2,24,49.0,22,18,213,58,4,1,5,9,1,2,35,0,1,3.31,3.84,1.37,136.5,118.1,-0.84,삼성,2021,20000.0
양현,1.01,33,0,0,0,1,1,0,5,32.2,13,13,132,31,3,0,4,13,0,1,20,0,0,3.58,5.49,1.35,143.9,93.3,-0.81,키움,2018,
정수민,1.01,3,0,0,3,1,0,0,0,15.2,2,2,61,11,4,0,0,5,0,0,11,0,0,1.15,3.11,1.02,419.8,154.1,0.56,SSG,2020,
박민석,1.01,21,0,0,0,0,0,1,3,21.2,4,4,90,10,2,0,2,11,0,6,27,0,2,1.66,4.85,0.97,306.4,105.6,0.24,NC,2016,0.0
전상현,1.0,50,0,0,0,5,5,2,16,46.1,20,17,195,42,10,0,2,16,2,0,53,0,2,3.3,2.52,1.25,123.5,162.0,0.56,KIA,2022,11000.0
김승회,1.0,55,0,0,0,3,3,3,7,58.2,24,20,250,57,12,3,1,16,1,2,46,0,5,3.07,2.93,1.24,133.8,141.4,0.3,두산,2019,10000.0
스탁,1.0,29,0,0,29,9,10,0,0,165.0,87,65,722,161,24,2,9,83,0,10,138,0,12,3.55,4.07,1.48,112.2,98.7,-0.98,두산,2022,
데스파이네,0.99,30,0,0,29,8,12,0,0,163.0,94,82,725,198,27,0,14,48,2,9,123,1,7,4.53,3.96,1.51,90.9,102.9,-1.34,,2022,
장필준,0.99,56,0,0,1,4,6,4,9,72.0,42,41,317,82,8,2,9,26,0,5,57,0,4,5.13,5.13,1.5,102.9,101.8,-1.87,삼성,2016,6500.0
임정호,0.99,80,0,0,0,1,2,0,14,48.0,21,20,200,31,3,0,2,27,1,5,54,0,3,3.75,3.85,1.21,127.8,127.0,0.2,NC,2015,7700.0
김단우,0.99,41,0,0,2,5,4,0,8,65.2,31,28,282,63,11,1,2,27,1,4,39,0,3,3.84,3.98,1.37,107.0,103.4,1.36,LG,2019,12000.0
박세웅,0.98,12,0,0,12,3,6,0,0,60.0,33,28,263,66,12,3,3,23,0,0,44,0,4,4.2,3.74,1.48,99.8,112.2,-0.45,롯데,2019,11000.0
정성곤,0.98,24,0,0,0,1,0,0,5,24.1,8,8,104,23,1,0,3,11,0,0,23,0,0,2.96,4.9,1.4,179.1,106.2,-0.01,,2018,
하영민,0.98,28,0,0,2,1,1,0,1,45.1,24,24,206,49,11,1,5,30,2,1,23,0,4,4.76,6.07,1.74,104.4,81.1,-0.21,키움,2017,5500.0
이현승,0.97,38,0,0,0,5,1,0,7,23.1,6,5,90,16,2,0,1,6,1,0,20,0,0,1.93,2.82,0.94,223.7,154.5,0.89,두산,2021,10000.0
이인복,0.97,47,0,0,1,1,4,0,2,45.1,22,20,199,57,9,0,2,12,1,1,21,0,2,3.97,4.0,1.52,122.7,119.7,-1.01,롯데,2020,3000.0
김상수,0.97,58,0,0,0,2,3,18,14,55.2,32,32,239,53,10,0,9,23,2,1,68,0,6,5.17,4.68,1.37,99.6,108.5,-0.39,키움,2018,
박영현,0.97,52,0,0,0,0,1,0,2,51.2,23,21,219,46,8,0,5,20,1,0,55,0,3,3.66,3.57,1.28,112.6,114.3,-0.29,kt,2022,3000.0
이채호,0.96,38,0,0,0,5,0,0,3,36.2,13,12,156,28,11,0,0,13,2,6,32,0,2,2.95,2.98,1.12,139.8,135.9,0.59,kt,2022,3000.0
문경찬,0.96,32,0,0,0,0,3,0,0,55.1,29,29,240,62,13,0,10,17,2,2,46,1,3,4.72,5.44,1.43,108.8,94.8,-1.16,,2018,
김성민,0.95,47,0,0,0,2,3,1,11,46.2,21,17,218,43,7,0,4,35,2,6,36,0,1,3.28,5.41,1.67,135.2,80.4,0.05,키움,2021,6000.0
홍성민,0.95,53,0,0,0,3,4,0,14,41.1,19,18,185,53,9,0,3,12,1,2,26,1,2,3.92,3.96,1.57,115.8,113.7,-0.06,NC,2021,12500.0
김재웅,0.95,51,0,0,0,0,1,1,11,53.1,24,21,243,49,2,0,5,33,3,1,47,0,2,3.54,4.53,1.54,125.1,95.2,0.82,키움,2021,10400.0
김선규,0.95,31,0,0,0,2,0,0,2,31.2,12,11,136,34,4,1,5,10,2,2,19,0,1,3.13,5.42,1.39,150.1,84.9,-0.71,LG,2015,
박세웅,0.95,27,0,0,27,7,12,0,0,139.0,97,89,627,160,31,3,17,62,0,6,133,0,9,5.76,4.94,1.6,90.7,105.7,-1.83,롯데,2016,10000.0
홍상삼,0.95,57,0,0,0,4,5,0,17,48.0,27,27,229,32,11,0,5,54,0,3,61,0,8,5.06,5.93,1.79,94.8,81.3,-0.55,KIA,2020,4000.0
엄상백,0.94,10,0,0,9,4,1,0,0,52.2,24,24,228,41,10,0,7,28,0,3,45,0,0,4.1,5.12,1.31,109.5,86.7,0.03,kt,2021,8000.0
장현식,0.94,31,0,0,22,9,9,0,0,134.1,86,79,600,139,28,0,18,66,0,5,120,0,15,5.29,5.28,1.53,93.7,94.9,-1.06,NC,2017,
해커,0.94,14,0,0,13,5,3,0,0,79.2,49,46,349,86,16,0,16,30,0,5,56,1,2,5.2,6.36,1.46,99.2,80.0,-0.9,키움,2018,
홍건희,0.93,60,0,0,0,3,4,1,8,68.2,39,38,299,74,14,3,8,22,0,5,60,0,3,4.98,4.5,1.4,93.6,102.8,-1.1,두산,2020,5300.0
봉중근,0.92,47,0,0,2,5,2,15,0,49.1,28,27,223,60,6,0,10,23,4,6,39,0,3,4.93,6.19,1.68,95.3,73.8,-0.83,LG,2015,30000.0
안영명,0.92,35,0,0,27,10,6,0,1,125.1,77,71,568,137,23,1,15,60,1,11,82,0,4,5.1,5.54,1.57,97.7,89.1,-1.13,한화,2015,28000.0
손승락,0.92,58,0,0,0,4,6,23,0,61.1,35,26,272,73,7,1,6,13,2,3,63,0,1,3.82,3.52,1.4,130.4,141.6,-1.2,키움,2015,
최성훈,0.92,46,0,0,0,1,1,0,3,40.2,14,11,179,40,7,1,2,19,1,1,33,0,0,2.43,3.75,1.45,177.2,116.2,-0.22,LG,2021,10500.0
원종현,0.91,61,0,0,0,2,2,14,6,53.0,27,25,245,67,9,0,5,23,2,3,45,0,4,4.25,4.22,1.7,107.0,107.0,-1.58,NC,2021,27000.0
김태훈,0.91,53,0,0,2,7,0,0,10,64.0,34,30,281,70,14,1,1,22,1,5,40,0,3,4.22,3.73,1.44,111.8,127.0,-0.3,키움,2020,8000.0
박희수,0.91,34,0,0,0,0,1,1,2,28.2,8,4,124,29,2,0,1,13,0,3,14,0,0,1.26,4.55,1.47,338.9,92.7,0.28,SSG,2019,
권오준,0.9,45,0,0,0,1,2,0,1,56.0,32,32,233,57,12,0,11,14,0,4,55,0,2,5.14,5.29,1.27,98.6,95.8,-0.06,삼성,2017,15000.0
이보근,0.9,64,0,0,0,7,6,0,24,61.0,36,29,263,66,10,2,6,14,1,4,54,0,2,4.28,4.18,1.31,120.4,122.3,-0.73,키움,2018,
김건국,0.9,37,0,0,5,3,3,0,3,66.2,34,33,293,73,8,1,5,27,0,6,43,0,3,4.46,4.57,1.5,94.1,91.6,-0.27,롯데,2019,5400.0
김성민,0.89,33,1,0,15,4,3,0,1,87.2,54,48,411,104,20,1,12,40,0,9,75,0,2,4.93,5.48,1.64,101.1,89.8,-1.11,SSG,2017,
김승회,0.89,69,0,0,0,7,4,0,11,69.0,38,38,304,86,17,3,6,17,2,6,41,0,3,4.96,4.59,1.49,97.1,105.3,-1.19,두산,2017,10000.0
진해수,0.89,50,0,0,0,1,0,0,5,44.1,17,12,188,41,4,0,2,18,1,3,39,0,1,2.44,3.51,1.33,177.1,124.1,-0.19,LG,2021,30000.0
최성훈,0.89,45,0,0,0,0,0,0,6,33.1,10,8,139,23,4,2,1,13,2,3,22,0,2,2.16,3.67,1.08,184.0,110.4,0.42,LG,2022,10500.0
전유수,0.88,62,0,0,1,3,1,1,7,66.1,31,25,280,66,16,1,2,18,4,4,46,0,6,3.39,3.22,1.27,122.0,128.9,-1.21,kt,2019,10000.0
조현우,0.88,49,0,0,0,0,0,0,6,31.0,10,9,126,26,5,1,0,7,1,1,13,0,2,2.61,3.17,1.07,171.9,140.3,0.73,kt,2021,9500.0
윤석민,0.88,16,1,0,3,2,2,1,6,31.0,14,11,139,36,2,1,1,8,0,5,26,0,1,3.19,3.79,1.42,162.2,138.3,0.39,KIA,2016,125000.0
원종현,0.88,59,0,0,0,3,6,2,17,64.1,38,37,275,78,5,1,7,22,1,2,36,0,5,5.18,5.2,1.55,100.3,101.0,-1.21,NC,2018,
백인식,0.87,11,0,0,2,0,0,2,2,18.2,5,5,74,15,2,0,0,5,0,4,10,1,0,2.41,4.11,1.07,208.8,121.1,0.69,SSG,2017,4000.0
김진성,0.87,59,0,0,0,3,4,5,12,66.0,35,33,271,59,9,1,14,18,0,1,70,0,2,4.5,5.12,1.17,106.5,95.2,0.16,NC,2015,15000.0
배재환,0.87,53,0,0,0,1,3,0,12,43.0,22,19,209,38,7,2,4,35,3,9,33,2,5,3.98,6.09,1.7,122.9,79.3,-1.88,NC,2020,
권혁,0.87,78,0,0,0,9,13,17,6,112.0,68,62,506,124,21,1,15,53,7,5,88,1,5,4.98,5.15,1.58,100.0,95.7,-1.76,한화,2015,45000.0
스와잭,0.87,20,0,0,17,5,7,0,1,92.1,57,54,414,110,19,1,9,30,1,4,72,1,4,5.26,4.4,1.52,89.1,106.3,-1.59,두산,2015,
이종혁,0.86,47,0,0,0,0,5,1,4,48.1,28,25,215,61,8,0,4,17,3,2,31,0,2,4.66,4.62,1.61,113.8,112.8,-2.12,,2018,
장지훈,0.86,40,0,0,0,2,0,0,6,55.0,26,26,231,56,8,2,6,11,2,3,33,0,4,4.25,4.21,1.22,97.8,99.4,-0.3,SSG,2022,
김도규,0.86,55,0,0,0,4,4,3,8,51.0,26,21,218,48,8,1,2,19,2,4,45,0,3,3.71,3.32,1.31,112.3,123.2,0.45,롯데,2022,5700.0
니퍼트,0.86,20,0,0,16,6,5,0,0,90.0,54,51,404,104,21,0,4,33,0,4,76,0,4,5.1,3.74,1.52,91.9,128.0,-0.36,두산,2015,120000.0
심재민,0.86,44,0,0,1,4,1,0,6,43.1,19,18,184,41,6,2,4,16,3,2,21,0,0,3.74,4.61,1.32,110.1,88.4,0.33,kt,2022,8200.0
원태인,0.85,26,0,0,20,4,8,0,2,112.0,65,60,493,119,26,3,12,39,0,5,68,2,6,4.82,4.76,1.41,90.0,89.7,-1.59,삼성,2019,8000.0
최지광,0.85,51,0,0,0,1,3,0,15,44.1,24,24,199,34,5,0,2,31,4,3,45,0,5,4.87,4.14,1.47,100.7,116.9,-0.54,삼성,2020,12000.0
송은범,0.85,56,0,0,1,4,2,2,6,56.0,29,28,247,66,8,1,4,19,1,3,28,0,2,4.5,4.61,1.52,102.8,101.0,-0.15,LG,2020,27000.0
임창용,0.85,34,0,0,0,3,3,15,0,35.0,18,17,159,45,7,1,5,10,3,1,38,1,5,4.37,4.16,1.57,118.5,126.4,-1.07,KIA,2016,50000.0
김원중,0.85,24,0,0,24,7,8,0,0,107.1,71,68,507,130,21,2,13,56,0,10,87,0,8,5.7,5.53,1.73,88.4,90.9,-0.91,롯데,2017,6300.0
김대우,0.85,47,0,0,1,6,3,1,4,71.0,44,39,318,81,14,3,8,31,1,6,63,0,4,4.94,4.83,1.58,100.7,102.9,-1.07,키움,2015,
손승락,0.85,53,0,0,0,4,3,9,2,52.2,27,23,233,54,9,1,3,19,3,3,44,0,2,3.93,3.56,1.39,106.7,117.4,-1.04,롯데,2019,
배우열,0.84,36,0,0,0,1,1,1,4,40.1,21,18,175,47,13,1,2,18,0,0,29,0,5,4.02,4.34,1.61,130.1,120.5,-0.68,kt,2016,4600.0
한현희,0.84,61,0,0,0,7,5,0,24,58.0,26,22,251,50,10,1,1,20,1,7,49,1,2,3.41,3.28,1.21,121.2,127.0,-0.45,키움,2019,29000.0
유승철,0.84,39,0,0,0,1,0,1,3,47.1,25,23,220,49,10,1,5,29,3,4,44,0,4,4.37,5.25,1.65,117.4,98.3,-0.81,KIA,2018,6000.0
진해수,0.83,73,0,0,0,3,1,0,20,43.0,17,16,188,44,3,3,2,16,0,2,38,0,0,3.35,3.5,1.4,122.6,117.0,-0.02,LG,2019,25000.0
박희수,0.83,35,0,0,0,1,2,0,4,33.0,14,12,146,35,8,0,1,15,0,3,30,0,0,3.27,4.05,1.52,160.6,128.8,-0.95,SSG,2018,
김대우,0.83,67,0,0,0,6,0,0,11,66.0,39,37,295,82,17,0,8,19,1,6,37,0,2,5.05,5.34,1.53,104.5,97.7,-0.13,삼성,2016,15000.0
강재민,0.83,56,0,0,0,4,7,7,7,51.1,26,24,232,44,5,1,7,29,8,4,39,0,1,4.21,5.05,1.42,96.2,81.0,-1.58,한화,2022,15000.0
고효준,0.82,40,0,0,1,3,1,0,4,40.0,19,19,186,44,7,1,1,22,0,5,35,1,2,4.28,4.34,1.65,116.2,114.9,0.1,KIA,2017,
톰슨,0.82,11,1,1,11,2,3,0,0,62.2,35,33,267,54,8,1,4,23,0,5,60,0,8,4.74,3.66,1.23,88.5,114.4,-0.26,롯데,2019,
함덕주,0.82,61,0,0,0,2,5,16,7,54.2,24,21,236,39,7,1,6,34,4,1,48,0,2,3.46,4.78,1.34,118.7,84.8,1.14,두산,2019,21000.0
박민호,0.82,40,0,0,0,4,0,0,5,41.0,18,18,177,45,5,0,3,11,0,4,19,0,0,3.95,4.45,1.37,113.6,101.5,0.16,SSG,2021,
김윤수,0.82,61,0,0,0,3,5,0,12,58.0,34,30,266,66,9,0,6,31,3,1,41,0,7,4.66,4.99,1.67,105.4,97.8,-1.34,삼성,2020,3700.0
윤성환,0.82,27,1,1,27,8,13,0,0,145.1,87,77,643,168,34,3,14,50,0,7,65,0,3,4.77,4.94,1.5,91.0,86.3,-1.05,삼성,2019,40000.0
차우찬,0.81,29,1,0,29,12,10,0,0,170.0,119,115,762,177,36,4,27,79,2,10,136,0,10,6.09,5.83,1.51,82.9,85.5,-2.45,LG,2018,
박상원,0.81,61,0,0,0,1,4,0,12,59.0,29,26,256,52,6,0,5,28,1,5,39,0,1,3.97,4.81,1.36,104.5,86.6,0.45,한화,2019,9000.0
최원재,0.81,36,0,0,0,2,1,0,3,33.0,16,14,148,43,2,3,2,12,1,3,24,0,1,3.82,4.22,1.67,131.6,116.9,-0.2,kt,2015,4600.0
김기현,0.81,54,0,0,0,1,0,0,3,41.1,20,20,187,36,6,1,5,30,1,3,32,0,5,4.35,5.96,1.6,114.4,82.7,-0.13,한화,2015,0.0
배제성,0.8,24,0,0,18,3,9,0,0,107.0,56,50,458,103,15,2,8,46,0,1,89,0,8,4.21,3.96,1.39,97.9,102.7,-0.54,kt,2022,27000.0
고영창,0.8,27,0,0,0,0,1,0,0,24.0,5,5,104,24,3,0,2,10,0,3,9,0,0,1.88,5.3,1.42,217.4,77.3,-0.47,KIA,2022,4200.0
허준혁,0.8,16,0,0,14,3,2,0,0,63.0,37,25,282,52,7,1,7,41,1,6,45,0,3,3.57,5.82,1.48,131.3,80.5,-0.12,두산,2015,7500.0
이동걸,0.8,24,0,0,0,0,0,1,2,36.2,18,17,146,36,8,1,5,5,0,3,22,0,1,4.17,4.96,1.12,120.5,101.9,0.44,한화,2017,0.0
웹스터,0.8,12,0,0,12,4,4,0,0,71.0,48,45,325,72,16,2,10,47,0,3,59,1,4,5.7,6.07,1.68,92.4,85.9,-0.87,삼성,2016,
박정진,0.79,55,0,0,0,3,2,1,7,48.0,28,21,205,38,6,0,6,24,0,3,51,0,3,3.94,4.92,1.29,127.7,103.0,0.52,한화,2017,0.0
신재웅,0.79,61,0,0,0,0,1,0,9,50.1,28,23,236,72,15,2,5,17,0,4,49,0,1,4.11,4.21,1.77,115.4,112.8,-0.61,LG,2015,
배재환,0.79,31,0,0,0,3,3,1,2,36.0,18,18,169,37,5,1,6,25,1,1,34,0,3,4.5,6.19,1.72,115.3,85.0,-1.11,NC,2018,
김원중,0.79,43,0,0,0,2,3,16,2,43.0,21,19,187,40,10,1,4,16,3,0,60,0,3,3.98,2.66,1.3,104.7,153.2,0.26,롯데,2022,28000.0
김민우,0.79,36,0,0,8,1,3,0,0,70.0,41,40,314,67,13,0,5,38,3,10,50,0,5,5.14,5.04,1.5,96.9,97.7,-0.69,한화,2015,3800.0
최채흥,0.78,8,0,0,4,4,1,0,0,28.0,11,10,120,30,5,1,5,8,0,1,25,0,0,3.21,5.33,1.36,165.0,98.9,0.06,삼성,2018,
김명신,0.78,39,0,0,2,3,1,0,5,45.1,23,22,200,54,4,2,2,12,0,7,38,1,1,4.37,3.89,1.46,110.2,125.7,-0.44,두산,2017,5200.0
이승호,0.77,23,1,1,23,8,5,0,0,122.2,70,61,533,134,27,3,10,51,0,1,82,3,5,4.48,4.4,1.51,92.5,93.5,-0.82,키움,2019,8500.0
밴와트,0.77,28,0,0,27,6,13,0,0,134.2,103,89,614,172,27,4,21,49,0,4,92,0,6,5.95,5.63,1.64,87.9,92.6,-2.79,kt,2016,
황인준,0.77,37,0,0,2,3,1,0,1,52.2,31,29,229,58,13,1,9,12,0,6,35,0,0,4.96,5.75,1.33,103.6,89.6,-0.23,,2018,
박상원,0.76,62,0,0,0,1,0,1,10,58.0,35,30,256,62,14,1,8,20,4,4,52,1,2,4.66,4.59,1.41,101.6,104.2,-0.34,한화,2020,
